idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list
44,img_03470cda035b5adeddb4a5b3::yaw_minus_35,carport,0.0905,7.7,26479,76.4,103.2,0,nan,False
45,img_68f31368a376525690e48608::yaw_minus_35,carport,0.0928,7.58,25774,48.8,112.0,0,nan,False
46,img_92dd1fda516c07508a76a56c::yaw_minus_35,carport,0.095,7.49,26850,68.2,127.1,0,nan,False
47,img_8c80111aab308428694788f4::yaw_minus_35,carport,0.0973,7.32,29637,71.9,121.9,0,nan,True
48,img_df46b1666c566e3ae900c93b::yaw_minus_35,carport,0.0995,7.16,31240,55.8,114.0,0,nan,True
49,img_72d329aaeffd9ca5bb751d0f::yaw_minus_35,carport,0.1018,7.05,35847,75.9,128.0,0,nan,True
50,img_298eb4ad7a7fb190d39583ea::yaw_minus_35,carport,0.1041,6.87,40187,57.6,118.2,0,nan,False
51,img_bca1f40e65c0073ea5c3b207::yaw_minus_35,carport,0.1063,6.78,39686,59.8,125.2,0,nan,False
52,img_65f505414e53514b40c87f66::yaw_minus_35,carport,0.1086,6.73,43872,62.9,130.2,0,nan,False
53,img_20db9aea57590d693ed1f417::yaw_minus_35,carport,0.1109,6.57,44958,66.2,134.5,0,nan,False
54,img_7e5fa33d0d13a5a9e8727f84::yaw_minus_35,carport,0.1131,6.37,47593,79.7,140.7,0,nan,False
55,img_2cb25c84f93cba5efbbe84c5::yaw_minus_35,carport,0.1154,6.14,50478,78.3,137.3,0,nan,False
56,img_5bf2570751fa5012e024eb20::yaw_minus_35,carport,0.1176,5.93,53705,102.2,144.9,0,nan,False
57,img_59524914ac06cf1a2d6e317a::yaw_minus_35,carport,0.1199,5.72,56097,102.3,132.1,0,nan,False
58,img_cc49a20a9f67e4bfb75ac5cd::yaw_minus_35,carport,0.1222,5.58,66504,86.1,101.1,0,nan,False
59,img_43880861e0630f5d7ac7cc0d::yaw_minus_35,carport,0.1244,5.41,74322,72.7,85.7,0,nan,False
60,img_6ed6c4d41155b1fef7584c54::yaw_minus_35,carport,0.1267,5.24,87575,71.2,91.2,217,74.0,False
61,img_2583dd744e4c06e135d8853a::yaw_minus_35,carport,0.1448,5.53,67102,26.4,33.9,6840,63.6,False
62,img_a4bc513964ab0170b07c28bc::yaw_minus_35,carport,0.1471,5.54,60097,29.0,38.8,12154,54.5,True
63,img_e1287e860ec48f842b16e821::yaw_minus_35,carport,0.1561,6.09,28694,15.0,20.2,23524,40.4,True
64,img_d691623e566cde7f444905b2::yaw_minus_35,carport,0.1584,6.22,22018,13.5,16.3,21898,44.5,True
65,img_8a5782154627496067ab070d::yaw_minus_35,carport,0.1606,6.38,16428,18.0,21.0,22402,49.0,True
66,img_f5f133cabb2d110c4de5284e::yaw_minus_35,carport,0.1629,6.6,12499,19.6,24.2,22887,56.0,True
67,img_1a38b2127348ddbd3e540b2f::yaw_minus_35,carport,0.1652,6.75,8108,22.4,26.8,22688,57.9,True
68,img_6f0133802dcbba5715db2a6b::yaw_minus_35,carport,0.1674,6.87,4111,26.7,33.1,23351,54.4,True
69,img_a2ef0a0058461539f6d32279::yaw_minus_35,carport,0.1697,6.99,1877,98.1,137.8,24186,77.0,True
70,img_24d4e5bc6fa22cd9ea92ff2e::yaw_minus_35,carport,0.1719,6.97,1519,33.2,46.9,23637,85.6,False
71,img_789243cb60bd90423c2cc36f::yaw_minus_35,carport,0.1742,6.92,1271,30.1,44.9,21602,50.1,False
