cam_signed_dist_to_plane_m,cam_to_door_centre_m,camera_id,face_id,image_id,in_roi_list,quad_any_inside,quad_fully_inside,sample_id,vis6_delta_p05,vis6_delta_p50,vis6_delta_p95,vis6_n_behind,vis6_n_front,vis6_n_lidar_in_quad,vis6_n_on_leaf,vis6_quad_pixels,vis6_quad_pixels_in_dilated_support,vis6_range_p05,vis6_range_p50,vis6_range_p95,vis6_t_plane_p50,vis6f_delta_p05,vis6f_delta_p50,vis6f_delta_p95,vis6f_n_behind,vis6f_n_front,vis6f_n_lidar_in_quad,vis6f_n_on_leaf,vis6f_quad_pixels,vis6f_quad_pixels_in_dilated_support,vis6f_range_p05,vis6f_range_p50,vis6f_range_p95,vis6f_t_plane_p50
-2.02736977720968,2.0510956602289325,right,yaw_plus_35,img_0baaa27b93015822440b687d,False,False,False,img_0baaa27b93015822440b687d::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.159378255222195,7.878473350955777,left,pitch_down_56,img_0bdb034725fc3184e49fe35e,False,False,False,img_0bdb034725fc3184e49fe35e::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.159378255222195,7.878473350955777,left,pitch_up_56,img_0bdb034725fc3184e49fe35e,False,False,False,img_0bdb034725fc3184e49fe35e::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.159378255222195,7.878473350955777,left,yaw_minus_35,img_0bdb034725fc3184e49fe35e,False,False,False,img_0bdb034725fc3184e49fe35e::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.159378255222195,7.878473350955777,left,yaw_plus_35,img_0bdb034725fc3184e49fe35e,False,True,True,img_0bdb034725fc3184e49fe35e::yaw_plus_35,-4.516391514900577,-1.0199321331853,4.318643713150446,1005,11884,13991,264,56784,56784,3.532533645629883,7.180678367614746,12.231675148010254,7.863920909519494,-4.715974576910821,-4.29612483529363,-3.9292048054333764,0,2779,2779,0,56784,56717,3.5034390449523927,3.56778621673584,3.6499616622924806,7.86381016973741
-3.21732309478448,6.785871827957418,right,pitch_up_56,img_0c5af46cf601f1ba240045ea,False,False,False,img_0c5af46cf601f1ba240045ea::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.21732309478448,6.785871827957418,right,yaw_plus_35,img_0c5af46cf601f1ba240045ea,False,True,True,img_0c5af46cf601f1ba240045ea::yaw_plus_35,-4.293253859321038,-1.3857352305177715,2.740641504879652,1147,9244,11173,384,26156,26156,2.5852078437805175,5.419129848480225,9.707844161987305,6.759389616071876,-4.553007260819882,-4.013898798706315,-3.5665558174542795,0,2446,2446,0,26156,26134,2.5517609119415283,2.6632721424102783,3.013127326965332,6.764053533473767
-8.934837914796761,9.31152888492417,left,pitch_up_56,img_0c6b408f60b2b130e10c33e8,False,False,False,img_0c6b408f60b2b130e10c33e8::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.934837914796761,9.31152888492417,left,yaw_plus_35,img_0c6b408f60b2b130e10c33e8,False,False,False,img_0c6b408f60b2b130e10c33e8::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6564698769671515,4.735367016683974,right,pitch_down_56,img_0cfe3b000d78b3cbe984aa45,False,False,False,img_0cfe3b000d78b3cbe984aa45::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6564698769671515,4.735367016683974,right,pitch_up_56,img_0cfe3b000d78b3cbe984aa45,False,False,False,img_0cfe3b000d78b3cbe984aa45::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6564698769671515,4.735367016683974,right,yaw_minus_35,img_0cfe3b000d78b3cbe984aa45,True,True,True,img_0cfe3b000d78b3cbe984aa45::yaw_minus_35,-0.10998090125625798,0.7803071904040175,3.9414929501725458,7575,0,10219,1710,23822,23822,4.238671064376831,5.298743724822998,8.475234031677246,4.703169879982642,-0.12977239004769903,0.32591163330243056,1.4079232389564975,2887,0,5531,1710,23822,23816,4.225912094116211,5.184956073760986,6.274296998977661,4.7667807531825845
0.6564698769671515,4.735367016683974,right,yaw_plus_35,img_0cfe3b000d78b3cbe984aa45,False,False,False,img_0cfe3b000d78b3cbe984aa45::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.841733997435573,8.756777041159413,left,pitch_up_56,img_0d0e8da31b5f41cd32b8700d,False,False,False,img_0d0e8da31b5f41cd32b8700d::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.841733997435573,8.756777041159413,left,yaw_minus_35,img_0d0e8da31b5f41cd32b8700d,False,False,False,img_0d0e8da31b5f41cd32b8700d::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.841733997435573,8.756777041159413,left,yaw_plus_35,img_0d0e8da31b5f41cd32b8700d,False,True,False,img_0d0e8da31b5f41cd32b8700d::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.377776073646869,9.68701892549509,left,pitch_up_56,img_0e30201037f2d207322568eb,False,False,False,img_0e30201037f2d207322568eb::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.377776073646869,9.68701892549509,left,yaw_minus_35,img_0e30201037f2d207322568eb,False,False,False,img_0e30201037f2d207322568eb::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.377776073646869,9.68701892549509,left,yaw_plus_35,img_0e30201037f2d207322568eb,False,True,True,img_0e30201037f2d207322568eb::yaw_plus_35,-3.8432163617983686,-3.747117650329354,-0.12784460442126777,578,14475,15316,234,25753,25753,5.865126609802246,5.9687981605529785,9.521935224533081,9.69982567276593,-3.8458162571033805,-3.7532933917417095,-3.064910457801703,0,13910,13910,0,25753,25753,5.86315758228302,5.955059766769409,6.639751267433167,9.702182866518108
1.765785304976519,8.486505890185384,left,yaw_plus_35,img_0e90c061ce70226ad4b32bed,False,True,True,img_0e90c061ce70226ad4b32bed::yaw_plus_35,-0.08058486319952322,0.5033108734283172,1.508850008955378,3303,0,4909,996,8892,8892,7.995274639129638,8.949797630310059,10.134314918518067,8.451673186391329,-0.08163262379707312,0.47778362244213834,0.9297689055456655,3092,0,4698,996,8892,8892,7.99423885345459,8.947214603424072,9.710804462432861,8.448115102597086
-2.40518686163629,2.434706681590267,left,pitch_down_56,img_0ea21c0b2a26ae88b3f41c1b,False,False,False,img_0ea21c0b2a26ae88b3f41c1b::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.40518686163629,2.434706681590267,left,pitch_up_56,img_0ea21c0b2a26ae88b3f41c1b,False,True,False,img_0ea21c0b2a26ae88b3f41c1b::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.40518686163629,2.434706681590267,left,yaw_minus_35,img_0ea21c0b2a26ae88b3f41c1b,False,True,False,img_0ea21c0b2a26ae88b3f41c1b::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.40518686163629,2.434706681590267,left,yaw_plus_35,img_0ea21c0b2a26ae88b3f41c1b,False,True,False,img_0ea21c0b2a26ae88b3f41c1b::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.842529344349069,10.001529975897467,right,yaw_minus_35,img_0f09b1c8a16caf36b2272fd5,False,True,True,img_0f09b1c8a16caf36b2272fd5::yaw_minus_35,-4.76286028180416,-3.804436218960838,-0.09275468664937382,488,10206,12070,212,21699,21699,5.23563973903656,6.067363262176514,10.128510093688964,9.995745410746302,-4.790083217033076,-4.578792278904746,-3.6632722010813867,0,6913,6913,0,21699,21699,5.218284702301025,5.452462673187256,6.138364315032959,9.989755285811539
-8.926121399547934,9.520650235392493,right,pitch_up_56,img_0fcf49cd7f81361297e23ec7,False,False,False,img_0fcf49cd7f81361297e23ec7::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.926121399547934,9.520650235392493,right,yaw_minus_35,img_0fcf49cd7f81361297e23ec7,False,True,True,img_0fcf49cd7f81361297e23ec7::yaw_minus_35,-6.406826206538331,-3.9308433647185064,-0.12062462605199081,547,10898,12050,329,26064,26064,3.1412585020065307,5.620536804199219,9.542502069473265,9.534888240903838,-8.115873224644622,-5.685797012377983,-5.376411090966946,0,2580,2580,0,26064,25890,1.5288937866687775,3.8131183385849,4.077504754066467,9.497789937914124
3.393632244229356,6.517454792644664,right,pitch_up_56,img_0fd1829e4d452fc9e06670fe,False,False,False,img_0fd1829e4d452fc9e06670fe::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
3.393632244229356,6.517454792644664,right,yaw_minus_35,img_0fd1829e4d452fc9e06670fe,True,True,True,img_0fd1829e4d452fc9e06670fe::yaw_minus_35,0.07416285602903337,0.5263677246910738,4.220269506157875,13635,0,21199,1901,52958,52958,6.554452562332154,7.101703643798828,10.791684246063232,6.511860547813671,0.05122349436804795,0.33541497032956746,1.035089277250113,8218,0,15782,1901,52958,52958,6.505585741996765,7.0088951587677,7.296631908416748,6.567352029370493
-8.97624884595314,10.151869594875341,left,pitch_up_56,img_0ff5a27bcf3781c5964f8ee6,False,False,False,img_0ff5a27bcf3781c5964f8ee6::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
