region,tile,point_index,n_views,luma_mean_raw,luma_cv_raw,luma_logstd_raw,luma_min_raw,luma_max_raw,rgb_std_mean_raw,range_median_m,n_views_learned,luma_cv_learned,luma_cv_raw_paired_learned,luma_logstd_learned,luma_logstd_raw_paired_learned,rgb_std_mean_learned,n_views_per_camera_mean,luma_cv_per_camera_mean,luma_cv_raw_paired_per_camera_mean,luma_logstd_per_camera_mean,luma_logstd_raw_paired_per_camera_mean,rgb_std_mean_per_camera_mean,n_views_per_camera_time_block_10s,luma_cv_per_camera_time_block_10s,luma_cv_raw_paired_per_camera_time_block_10s,luma_logstd_per_camera_time_block_10s,luma_logstd_raw_paired_per_camera_time_block_10s,rgb_std_mean_per_camera_time_block_10s,n_views_per_camera_time_block_20s,luma_cv_per_camera_time_block_20s,luma_cv_raw_paired_per_camera_time_block_20s,luma_logstd_per_camera_time_block_20s,luma_logstd_raw_paired_per_camera_time_block_20s,rgb_std_mean_per_camera_time_block_20s,n_views_per_camera_time_block_60s,luma_cv_per_camera_time_block_60s,luma_cv_raw_paired_per_camera_time_block_60s,luma_logstd_per_camera_time_block_60s,luma_logstd_raw_paired_per_camera_time_block_60s,rgb_std_mean_per_camera_time_block_60s,n_views_oracle_per_image,luma_cv_oracle_per_image,luma_cv_raw_paired_oracle_per_image,luma_logstd_oracle_per_image,luma_logstd_raw_paired_oracle_per_image,rgb_std_mean_oracle_per_image,n_views_oracle_per_image_tile_views,luma_cv_oracle_per_image_tile_views,luma_cv_raw_paired_oracle_per_image_tile_views,luma_logstd_oracle_per_image_tile_views,luma_logstd_raw_paired_oracle_per_image_tile_views,rgb_std_mean_oracle_per_image_tile_views
indoor_door_leaf_Tile_1,Tile_1,33,53,63.2115,0.660114,0.659017,10.869,166.203,41.3352,2.96761,53,0.635721,0.660114,0.629534,0.659017,36.8824,53,0.667086,0.660114,0.664482,0.659017,46.8454,53,0.647283,0.660114,0.640574,0.659017,39.7713,53,0.646083,0.660114,0.635699,0.659017,39.9563,53,0.716613,0.660114,0.667378,0.659017,49.2031,53,0.721443,0.660114,0.67403,0.659017,34.2412,53,0.721443,0.660114,0.67403,0.659017,34.2412
indoor_door_leaf_Tile_1,Tile_1,34,57,109.471,0.414066,0.649865,13.951,169.425,44.9119,2.94137,57,0.395773,0.414066,0.626586,0.649865,40.1077,57,0.411923,0.414066,0.650962,0.649865,49.9813,57,0.368529,0.414066,0.566171,0.649865,38.9699,57,0.371967,0.414066,0.567333,0.649865,39.6333,57,0.404479,0.414066,0.619295,0.649865,47.5577,57,0.307067,0.414066,0.243496,0.649865,24.4195,57,0.307067,0.414066,0.243496,0.649865,24.4195
indoor_door_leaf_Tile_1,Tile_1,35,44,144.875,0.366196,0.640209,17.516,235.653,54.9984,2.78347,44,0.361766,0.366196,0.602957,0.640209,49.1231,44,0.366094,0.366196,0.641944,0.640209,61.2963,44,0.34859,0.366196,0.567077,0.640209,49.2873,44,0.349737,0.366196,0.562919,0.640209,50.2875,44,0.344824,0.366196,0.599699,0.640209,54.4237,44,0.121827,0.366196,0.122586,0.640209,11.1104,44,0.121827,0.366196,0.122586,0.640209,11.1104
indoor_door_leaf_Tile_1,Tile_1,36,125,76.0856,0.611455,0.634542,12.712,234.866,47.3318,6.19224,125,0.501006,0.611455,0.564724,0.634542,39.0795,125,0.613199,0.611455,0.639077,0.634542,53.4623,125,0.556094,0.611455,0.601963,0.634542,45.4052,125,0.552906,0.611455,0.600175,0.634542,45.2293,125,0.624587,0.611455,0.617144,0.634542,54.5285,125,0.402376,0.611455,0.388942,0.634542,31.5713,125,0.402376,0.611455,0.388942,0.634542,31.5713
indoor_door_leaf_Tile_1,Tile_1,37,63,114.566,0.428663,0.675775,14.071,189.153,48.8613,2.9818,63,0.421366,0.428663,0.653436,0.675775,46.0645,63,0.426702,0.428663,0.6754,0.675775,54.2428,63,0.391683,0.428663,0.591148,0.675775,43.428,63,0.412437,0.428663,0.606099,0.675775,47.2022,63,0.424076,0.428663,0.649374,0.675775,52.2033,63,0.4046,0.428663,0.257867,0.675775,31.888,63,0.4046,0.428663,0.257867,0.675775,31.888
indoor_door_leaf_Tile_1,Tile_1,38,61,113.344,0.416091,0.669582,12.826,172.995,46.7832,2.95089,61,0.403525,0.416091,0.644331,0.669582,43.8495,61,0.414619,0.416091,0.670068,0.669582,52.0612,61,0.376019,0.416091,0.58724,0.669582,41.0439,61,0.389431,0.416091,0.594894,0.669582,43.3702,61,0.40727,0.416091,0.641196,0.669582,49.2934,61,0.248605,0.416091,0.211072,0.669582,19.7545,61,0.248605,0.416091,0.211072,0.669582,19.7545
indoor_door_leaf_Tile_1,Tile_1,39,58,108.705,0.465386,0.71772,13.484,188.951,50.1438,2.92411,58,0.466137,0.465386,0.682606,0.71772,48.3195,58,0.464405,0.465386,0.718201,0.71772,55.9494,58,0.419557,0.465386,0.625983,0.71772,43.7488,58,0.42568,0.465386,0.630097,0.71772,44.7366,58,0.46227,0.465386,0.692624,0.71772,54.0802,58,0.179819,0.465386,0.163587,0.71772,14.9105,58,0.179819,0.465386,0.163587,0.71772,14.9105
indoor_door_leaf_Tile_1,Tile_1,40,126,66.4364,0.514192,0.496719,12.37,180.766,34.2991,6.4823,126,0.43658,0.514192,0.457184,0.496719,30.1236,126,0.515779,0.514192,0.501504,0.496719,38.7241,126,0.45179,0.514192,0.438943,0.496719,31.8783,126,0.460103,0.514192,0.445759,0.496719,32.5913,126,0.539658,0.514192,0.499104,0.496719,41.044,126,0.36829,0.514192,0.267764,0.496719,26.3213,126,0.36829,0.514192,0.267764,0.496719,26.3213
indoor_door_leaf_Tile_1,Tile_1,41,118,79.1968,0.534249,0.586328,12.598,231.632,43.352,6.38479,118,0.458156,0.534249,0.554698,0.586328,39.1335,118,0.535496,0.534249,0.590578,0.586328,48.9166,118,0.492791,0.534249,0.571813,0.586328,43.0632,118,0.48809,0.534249,0.56674,0.586328,42.6469,118,0.544413,0.534249,0.564594,0.586328,49.5949,118,0.355226,0.534249,0.359902,0.586328,31.352,118,0.355226,0.534249,0.359902,0.586328,31.352
indoor_door_leaf_Tile_1,Tile_1,42,55,54.6884,0.653583,0.63646,7.57,150.964,35.3254,3.03365,55,0.645874,0.653583,0.610589,0.63646,32.9208,55,0.659604,0.653583,0.640549,0.63646,39.9052,55,0.61914,0.653583,0.598881,0.63646,32.4129,55,0.613063,0.653583,0.593592,0.63646,32.473,55,0.715927,0.653583,0.642356,0.63646,42.2685,55,0.509046,0.653583,0.533247,0.63646,19.406,55,0.509046,0.653583,0.533247,0.63646,19.406
