config,source,step,kind,grow,cull,reset,cull_opacity_threshold,threshold_phase
tile1_R1d_20k,repo,5000,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,5100,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,5200,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,5300,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,5400,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,5500,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,5600,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,5700,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,5800,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,5900,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,6000,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,6100,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,6200,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,6300,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,6400,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,6500,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,6600,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,6700,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,6800,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,6900,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,7000,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,7100,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,7200,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,7300,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,7400,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,7500,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,7600,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,7700,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,7800,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,7900,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,8000,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,8100,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,8200,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,8300,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,8400,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,8500,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,8600,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,8700,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,8800,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,8900,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,9000,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,9100,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,9200,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,9300,refine,1,1,1,0.1,early
tile1_R1d_20k,repo,9400,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,9500,refine,1,1,0,0.1,early
tile1_R1d_20k,repo,9600,refine,1,1,1,0.1,early
